frame_num,bbox,class,id
49,[245.49693722 156.65188262 330.16995291 242.27865308],dining table,11
50,[236.18231829  60.90535833 268.54032454 140.06677474],person,1
50,[251.64354265 158.75219628 327.44930786 238.7899433 ],chair,2
50,[177.24183839 199.63723477 240.02465665 308.52238306],chair,3
50,[ 80.07171722 133.16934986 137.39184421 235.36897512],person,4
50,[328.6883588   63.30805112 366.06254159 143.16815651],person,6
50,[311.87568974  60.68927347 350.39201625 149.95209904],person,8
50,[405.2731732   57.98894463 446.46993335 102.09829487],person,9
50,[245.54062003 156.87202907 330.41766973 242.80531669],dining table,11
51,[236.33351336  61.00148922 268.5040035  140.00488662],person,1
51,[251.68851958 158.27765403 328.08431337 239.0102234 ],chair,2
51,[176.22035692 198.57441403 240.87988139 310.83326026],chair,3
51,[ 79.67252169 133.67507011 136.20073049 233.86636844],person,4
51,[314.68039281  60.73197722 354.45259308 149.3436473 ],person,8
51,[405.37235954  58.02078329 446.54489275 102.01181592],person,9
51,[245.48759031 156.95555037 330.57293117 242.99786201],dining table,11
52,[236.30929398  60.37068086 268.57876518 139.98367966],person,1
52,[250.97055842 158.09621483 327.73745791 239.08516183],chair,2
52,[176.62035264 198.83169515 241.07037238 310.3838329 ],chair,3
52,[ 79.10759212 133.2104634  136.81576783 235.93926402],person,4
52,[319.41656208  62.0834419  358.12212014 147.79373827],person,8
52,[405.38393446  58.02996873 446.59785537 101.98189806],person,9
52,[245.81435212 156.98722929 330.27670492 242.40483376],dining table,11
53,[236.37392651  58.81074881 269.19918821 140.637919  ],person,1
53,[250.75772458 158.02713313 327.53450839 239.10466636],chair,2
53,[176.72854555 198.93392268 241.19014039 310.19748657],chair,3
53,[ 79.59610216 134.34982191 135.69333875 233.43074534],person,4
53,[322.71275506  61.95027259 360.5180649  146.53803534],person,8
53,[404.98550597  58.03084719 446.35603471 101.97316276],person,9
53,[245.65896564 156.33762666 330.43535933 242.17253971],dining table,11
54,[236.49371155  58.22519269 269.34055849 140.88474908],person,1
54,[250.69802013 158.00157725 327.43113344 239.10380899],chair,2
54,[176.8867357  198.97343246 241.11532965 309.46019279],chair,3
54,[ 79.58216244 134.79735558 136.13429232 234.45032001],person,4
54,[299.32584176  63.94642098 338.27801614 149.40009585],person,6
54,[324.24258243  61.90915934 361.61099096 146.08081121],person,8
54,[404.52247325  58.02885899 446.57790685 102.63504266],person,9
54,[245.34348522 156.7529992  330.08662531 242.74106704],dining table,11
55,[236.73662673  58.66239483 269.20003146 140.97840315],person,1
55,[251.24345839 157.99274439 327.47959039 238.43728683],chair,2
